chief_complain,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7
กระหายน้ำบ่อย,หิวน้ำบ่อย,หิวน้ำตลอดเวลา,กระหายน้ำมาก,อยากน้ำ,โหยน้ำ,กระหายน้ำมาก,
กลืนติด,กลืนแล้วติด,,,,,,
กลืนลำบาก,กลืนยาก,กลืนอาหารไม่ได้,กลืนแล้วเจ็บ,,,,
การได้ยินลดลง,ไม่ค่อยได้ยิน,หูตึง,เรียกไม่ได้ยิน,หูหนวก,,,
ก้อนที่คอ,มีอะไรติดอยู่ที่คอ,ก้อนเนื้อบริเวณลำคอ,,,,,
ก้อนที่รักแร้,มีก้อนที่รักแร้,ก้อนใต้รักแร้,,,,,
ก้อนในช่องท้อง,มีอะไรอยูู่ในท้อง,ก้อนเนื้อที่ท้อง,,,,,
ก้าวร้าว,อารมณ์รุนแรง,รุนแรง,,,,,
ขาอ่อนแรง,ขาไม่มีแรง,ไม่มีแรงขา,,,,,
ขี้ตาเยอะ,มีขี้ตาออกมาเยอะ,มีขี้ตา,ขี้ตา,,,,
คลื่นไส้,รู้สึกคลื่นใส้,ผะอืดผะอม,อึดอัดมวนภายในท้อง,อยากอาเจียน,,,
คอแห้ง,คอแห้งตลอดเวลา,อาการคอแห้ง,,,,,
คัดจมูก,หายใจไม่ค่อยออก,อาการคัดจมูก,หายใจไม่สะดวก,,,,
คันตา,เคืองตา,อาการคันตา,,,,,
คันหู,อาการคันหู,,,,,,
คิดวนซ้ำๆ,คิดวนไปวนมา,คิดวกวน,ย้ำคิดย้ำทำ,กังวลอยู่กับเรื่องเดิมวนเวียนไปมา,,,
จมูกตัน,หายใจไม่่สะดวก,,,,,,
จุกแน่นท้อง,จุกท้อง,รู้สึกอึดอัดท้อง,ไม่สบายตัว,,,,
ชักเกร็ง,ชัก,อาการชัก,อาการชักเกร็ง,,,,
ตัวร้อน,ตัวอุ่น,มีไข้,ไข้,,,,
ตาบวม,อาการตาบวม,,,,,,
ตาพร่ามัว,มองไม่ค่อยเห็น,มองเห็นแสงสะท้อน,มองใบหน้าคนเป็นฝ้ามัว,ภาพมัว,,,
ถ่ายปนเลือด,ขี้แล้วมีเลือดติด,มีเลือดออกตอนถ่าย,ขี้ออกมาเป็นสีดำเข้ม,,,,
ถ่ายเป็นเลือดสด,ขี้ออกมาเป็นเลือดสีแดง,ถ่ายออกมาเป็นสีแดงเลือด,เลือดไหลออกมาตอนขี้,เลือดไหลออกมาตอนอุจจาระ,,,
ทรงตัวไม่ได้,ทรงตัวยาก,ภาวะโคลงเคลง,โคลงเคลง,,,,
ทำร้ายตัวเอง,กรีดแขนตัวเอง,,,,,,
ท้องอืด,จุกเสียดบริเวณลิ้นปี่,จุกแถวลิ้นปี่,มีอาหารค้างในท้อง,,,,
ท้อแท้,หมดกำลังใจ,หดหู่,ท้อถอย,,,,
นอนหลับยาก,นอนไม่หลับ,,,,,,
น้ำตาไหล,,,,,,,
น้ำมูกไหล,,,,,,,
น้ำหนักลด,ผมลง,,,,,,
น้ำไหลออกจากหัวนม,มีน้ำไหลออกมาจากหัวนม,,,,,,
น้ำไหลออกจากหู,,,,,,,
บวมตามร่างกาย,บวมเต็มตัว,บวม,,,,,
บ้านหมุน,,,,,,,
ประจำเดือนมามากผิดปกติ,เมนส์มาเยอะ,เมนส์มาไม่ปกติ,,,,,
ปวดกระดูก,ปวดร้าวตรงกระดูก,เจ็บตรงกระดูก,,,,,
ปวดกระบอกตา,,,,,,,
ปวดข้อนิ้วมือ,ปวดข้อนิ้ว,เจ็บข้อนิ้ว,,,,,
ปวดข้อศอก,ปวดศอก,เจ็็บศอก,,,,,
ปวดคอ,,,,,,,
ปวดตา,ตาล้า,,,,,,
ปวดต้นคอ,ปวดคอ,,,,,,
ปวดนิ้วมือ,ปวดนิ้ว,,,,,,
ปวดบริเวณอัณฑะ,ปวดตรงอวัยวะเพศชาย,ปวดตรงอวัยวะเพศ,,,,,
ปวดฟัน,,,,,,,
ปวดลูกตา,,,,,,,
ปวดสีข้าง,,,,,,,
ปวดหัว,,,,,,,
ปวดหัวไหล่,ปวดไหล่,,,,,,
ปวดเต้านม,ปวดนม,,,,,,
ปวดเบ่งอุจจาระ,ปวดตอนเบ่ง,,,,,,
ปวดเบ้าตา,,,,,,,
ปวดเมื่อยกล้ามเนื้อทั่วๆ,เมื่อยทั้งตัว,,,,,,
ปวดเวลามีเพศสัมพันธ์,ปวดเวลามีเซ็กส์,,,,,,
ปวดโหนกแก้ม,ปวดโหนก,,,,,,
ปัสสาวะกะปริบกะปรอย,,,,,,,
ปัสสาวะแสบขัด,,,,,,,
ปัสสาวะไม่พุ่ง,,,,,,,
ปัสสาวะไม่สุด,,,,,,,
ปัสสาวะไม่ออก,,,,,,,
ผิวแห้ง,,,,,,,
ผื่น,ผื่นขึ้น,,,,,,
ผื่นดำคล้ายรอยบุหรี่จี้,มีรอบบุหรี่จี้,,,,,,
ฝ้าขาวที่ลิ้น,,,,,,,
พูดมากไม่ยอมหยุด,พูดไม่ยอมหยุด,,,,,,
พูดไม่ปะติดปะต่อ,ปะติดปะต่อเรื่องที่พูดไม่ได้,,,,,,
มีบุตรยาก,,,,,,,
มีพฤติกรรมแปลกไป,,,,,,,
มือสั่น,,,,,,,
ลิ้นแข็ง,,,,,,,
หนองจากอวัยวะเพศ,มีหนองที่อวัยวะเพศ,,,,,,
หน้าบวม,,,,,,,
หน้ามืด,จะเป็นลม,,,,,,
หน้าเบี้ยว,,,,,,,
หยุดคิดไม่ได้,,,,,,,
หูดับ,,,,,,,
หูอื้อ,,,,,,,
หูแว่ว,,,,,,,
อารมณ์ดีผิดปกติ,,,,,,,
อาเจียนปนเลือดเก่าสีน้ำตาล,,,,,,,
เคืองตา,,,,,,,
เจ็บคอ,,,,,,,
เบื่อ ไม่อยากทำอะไร,,,,,,,
เบื่ออาหาร,,,,,,,
เรอเปรี้ยว,,,,,,,
เลือดออกผิดปกติทางช่องคลอด,,,,,,,
เศร้า,,,,,,,
เสมหะไหลลงคอ,,,,,,,
เหงื่อออกมากเวลากลางคืน,,,,,,,
เหนื่อยง่าย,,,,,,,
เหนื่อยเวลานอนราบ,,,,,,,
เหน็บ,เหน็บชา,,,,,,
เห็นภาพหลอน,,,,,,,
แขนบวม,,,,,,,
แน่นจมูก,หายใจไม่สะดวก,,,,,,
แน่นหน้าอก,เจ็บหน้าอก,,,,,,
แสบท้อง,แสบกระเพาะ,,,,,,
ไข้,ตัวร้อน,,,,,,
